team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PHI,2011,PHI,PHI,Team Level,other,82,0.53,0.53,0.54,12217,190.03,31.83,12.95,37.5,6.32,99.16,73.24,29.99,31.83,29.99,181,80,89,350,28,19,4,36,3,83,92,153,233,12,27,187,60,23,31,144,73,44,4.88,9.14,17.81,2,8,18,350,261,261,15,3.63,5.39,5.39,30.07,30.07,28.72,164.65,28.48,11.06,32.16,5.49,85.09,61.72,26,28.48,26,169,55,87,311,21,13,4,32,6,70,82,148,203,15,31,155,60,35,34,139,43,42,4.66,5.03,18.8,1,4,16,311,224,224,20,3.3,5.77,5.53,26.26,26.26,23.91
PHI,2011,PHI,PHI,Team Level,all,82,0.54,0.52,0.52,300118,2634.5,269.18,183.16,590.54,85.45,1434.59,1080.07,256.18,269.72,256.74,2641,1002,1241,4884,260,221,46,618,75,1176,1293,2381,3383,444,1088,2331,2058,478,625,2658,698,287,78.31,86.68,104.2,65,102,93,4899.7,3643,3653.3,383,41.25,53.66,54.15,256.29,256.9,249.25,2385.91,225.16,161.62,549.61,78.49,1300.85,987.27,215.72,225.71,216.24,2329,974,1208,4511,225,190,43,528,79,1043,1238,2104,3078,458,1110,2492,2158,647,594,2479,595,229,71.23,72.3,81.63,69,80,76,4503.29,3303,3303.43,378,35.98,43.17,44.08,217.06,217.24,211.52
PHI,2011,PHI,PHI,Team Level,5on5,82,0.52,0.51,0.51,227599,1884.68,156.3,123.24,445.36,61.06,1027.71,792.32,151.59,156.84,152.16,1919,687,934,3540,168,142,31,475,57,835,929,1751,2438,385,965,1606,1850,354,477,2004,465,137,59.04,58.11,39.16,54,77,37,3555.71,2606,2616.3,301,25.41,31.46,31.95,149.76,150.37,148.29,1804.27,144.96,116.49,433.93,59.61,984.29,756.73,140.56,145.51,141.09,1768,728,908,3404,147,132,26,430,61,785,941,1621,2349,390,964,1805,1935,493,425,1922,446,128,55.92,54.26,34.79,57,60,30,3396.29,2496,2496.43,297,23.95,27.19,28.4,140.51,140.69,138.53
PHI,2011,PHI,PHI,Team Level,4on5,82,0.18,0.17,0.2,29145,89.93,9.81,4.3,11.73,2.57,24.85,67.76,9.6,9.81,9.6,93,28,19,140,5,7,3,11,1,23,74,88,116,15,34,234,95,84,61,82,26,13,2.4,3.41,4,1,1,3,140,121,121,56,1,1.86,1.86,8.94,8.94,8.91,354.56,46.03,31.27,75.13,11.67,213.85,116.04,43.52,46.03,43.52,326,168,187,681,50,42,13,58,10,173,161,276,444,32,73,279,66,33,82,352,90,52,9.03,10.86,26.13,8,13,29,681,494,494,10,8.07,9.66,9.65,44.45,44.45,43.25
PHI,2011,PHI,PHI,Team Level,5on4,82,0.93,0.88,0.88,31157,469.87,71.24,42.68,95.96,15.5,282.87,146.75,65.01,71.24,65.01,448,207,199,854,59,53,8,96,14,235,198,389,596,32,62,304,53,17,56,428,134,93,12,16.02,43.23,8,16,35,854,655,655,11,11.2,14.93,14.93,67.51,67.51,63.32,62.43,5.68,2.81,8.39,1.73,17.61,52.77,5.63,5.68,5.63,66,23,26,115,7,3,0,8,2,15,54,59,82,21,42,253,97,86,53,66,16,7,1.62,2.16,1.9,3,3,1,115,89,89,51,0.66,0.56,0.49,5.85,5.85,5.84
OTT,2011,OTT,OTT,Team Level,other,82,0.61,0.52,0.51,9437,160.8,35.3,10.45,29.52,5.14,84.12,58.47,31.88,35.3,31.88,155,68,75,298,33,11,4,20,5,83,71,122,190,8,16,151,29,31,27,125,51,47,4.65,6.69,23.96,5,6,22,298,223,223,20,3.03,5.45,5.45,32.88,32.88,31.05,153.53,22.15,11.06,30.85,5.16,82.01,60.76,20.88,22.15,20.88,162,50,61,273,23,20,5,28,8,71,62,139,189,10,20,141,36,37,22,125,59,28,4.29,7.12,10.74,4,5,14,273,212,212,11,3.15,5.36,5.36,19.96,19.96,19.15
OTT,2011,OTT,OTT,Team Level,all,82,0.49,0.52,0.5,299717,2598.11,232.97,172.57,597.17,83.14,1439.09,1082.06,223.12,232.78,222.96,2574,1033,1344,4951,243,167,40,586,80,1169,1362,2331,3364,400,991,2453,1975,642,762,2742,642,223,76.32,76.93,79.72,70,91,82,4921.46,3607,3593.74,453,37.91,38.35,39.03,231.86,231.49,225.62,2561.15,239.86,177.77,571.79,82.49,1425.69,1064.4,231.97,241.39,233.49,2627,935,1078,4640,236,177,45,556,83,1091,1419,2391,3326,359,920,2440,1828,689,644,2615,718,229,75.4,86,78.46,71,78,87,4668.72,3562,3581.78,406,39.46,39.81,42.09,237.23,238.62,233.72
OTT,2011,OTT,OTT,Team Level,5on5,82,0.49,0.52,0.51,236568,2019.68,154.27,128.78,484.28,64.7,1115.67,845.3,149.49,154.07,149.33,2011,782,1055,3848,160,124,28,491,62,892,1064,1851,2633,349,878,1812,1826,522,597,2173,499,121,61.01,59.03,34.22,58,71,31,3818.46,2793,2779.74,367,26.46,25.48,26.27,154.46,154.1,151.45,1932.99,159.37,128.48,447.54,61.65,1072.32,815.64,155.23,160.89,156.75,1956,729,825,3510,154,119,28,427,65,823,1097,1802,2531,310,815,1788,1685,566,490,2012,541,132,59.18,64.14,36.04,60,55,39,3538.72,2685,2704.78,330,26.56,25.38,27.42,158.51,159.9,157.86
OTT,2011,OTT,OTT,Team Level,4on5,82,0.11,0.15,0.16,28895,78.81,6.36,3.52,10.8,2.14,23.39,60.78,6.31,6.36,6.31,80,27,20,127,7,2,0,7,2,16,73,73,100,14,36,261,87,70,66,82,17,8,2.06,2.27,2.03,3,3,1,127,107,107,60,0.83,0.41,0.41,6.78,6.78,6.73,405.14,50.93,34.91,84.96,13.74,251.31,132.14,48.51,50.93,48.51,427,141,176,744,52,37,12,93,10,180,196,375,516,21,44,278,44,27,75,414,95,59,10.3,11.64,28.98,4,15,33,744,568,568,13,8.98,8.82,9.06,50.84,50.84,48.81
OTT,2011,OTT,OTT,Team Level,5on4,82,0.83,0.86,0.83,24817,338.82,37.04,29.82,72.57,11.16,215.92,117.5,35.44,37.04,35.44,328,156,194,678,43,30,8,68,11,178,154,285,441,29,61,229,33,19,72,362,75,47,8.59,8.93,19.52,4,11,28,678,484,484,6,7.6,7.02,6.91,37.73,37.73,36.41,69.48,7.41,3.31,8.43,1.94,20.05,55.85,7.35,7.41,7.35,82,15,16,113,7,1,0,8,0,17,64,75,90,18,41,233,63,59,57,64,23,10,1.62,3.1,2.69,3,3,1,113,97,97,52,0.77,0.25,0.25,7.93,7.93,7.91
