"","season","games","name","playerId","data.draftYear","data.playerId","data.playerName","data.roundNumber","data.overallPickNumber","data.pickInRound","data.height","data.weight","data.position"
"1","20052006",2,"National Hockey League",8468682,2000,8468682,"Ryan Caldwell",7,202,5,74,174,"D"
"2","20072008",2,"National Hockey League",8468682,2000,8468682,"Ryan Caldwell",7,202,5,74,174,"D"
"3","20052006",53,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"4","20062007",70,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"5","20072008",72,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"6","20082009",70,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"7","20092010",73,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"8","20102011",68,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"9","20112012",62,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"10","20122013",43,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"11","20132014",63,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"12","20142015",46,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"13","20152016",65,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"14","20162017",57,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"15","20172018",63,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"16","20182019",52,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"17","20192020",30,"National Hockey League",8468685,2000,8468685,"Henrik Lundqvist",7,205,8,73,195,"G"
"18","20022003",7,"National Hockey League",8468161,2000,8468161,"Brandon Reid",7,208,11,69,180,"C"
"19","20032004",3,"National Hockey League",8468161,2000,8468161,"Brandon Reid",7,208,11,69,180,"C"
"20","20062007",3,"National Hockey League",8468161,2000,8468161,"Brandon Reid",7,208,11,69,180,"C"
"21","20002001",13,"National Hockey League",8468694,2000,8468694,"Peter Bartos",7,214,17,72,185,"F"
"22","20032004",79,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"23","20032004",79,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"24","20052006",55,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"25","20052006",55,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"26","20062007",81,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"27","20062007",81,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"28","20072008",82,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"29","20072008",82,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"30","20082009",50,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"31","20082009",50,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"32","20082009",19,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"33","20082009",19,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
"34","20092010",78,"National Hockey League",8468695,2000,8468695,"Matthew Lombardi",7,215,18,71,195,"C"
"35","20092010",78,"National Hockey League",8468695,2002,8468695,"Matthew Lombardi",3,90,27,71,195,"C"
