team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2012,COL,COL,Team Level,other,48,0.36,0.45,0.47,5211,88.97,11.19,6.36,18.27,3.26,48.06,32.87,10.62,11.19,10.62,91,29,32,152,13,7,1,17,4,34,45,78,107,4,8,86,22,13,13,74,32,14,2.5,3.79,4.9,3,2,8,152,120,120,7,1.81,1.77,1.77,11.23,11.23,10.87,99.87,20.09,7.35,18.65,3.27,50.47,35.18,18.97,20.09,18.97,106,29,49,184,20,13,3,12,2,38,50,86,115,1,2,73,24,8,12,72,36,27,2.16,4.71,13.22,2,7,11,184,135,135,8,2.17,3.96,3.96,18.31,18.31,17.82
COL,2012,COL,COL,Team Level,all,48,0.46,0.47,0.48,175828,1371.53,115.47,95.2,313.61,44.85,768.97,584.91,111.54,114.59,110.69,1415,508,660,2583,114,111,23,367,38,557,736,1301,1809,220,510,1449,1241,405,349,1484,327,112,40.63,38.72,36.11,37,33,44,2534.89,1923,1895.97,191,20.85,25.26,25.42,110.89,110.09,108.16,1505.69,137.54,109.16,341.73,49.02,842.68,619.87,132.37,139.26,134.07,1508,592,783,2883,150,129,27,327,45,666,783,1358,1950,178,426,1388,901,399,321,1582,394,124,44.92,48.37,44.25,47,55,48,2950.19,2100,2140.55,168,24.26,29.11,29.36,132.42,133.97,131.53
COL,2012,COL,COL,Team Level,5on5,48,0.49,0.49,0.49,140324,1089.05,84.2,71.92,257.11,35.21,608.65,468.92,81.54,83.32,80.68,1118,408,548,2074,79,86,18,298,28,436,599,1039,1447,195,457,1095,1144,336,265,1194,260,72,32.88,30.54,20.78,31,24,24,2025.89,1526,1498.97,160,14.79,18.43,18.59,80.4,79.6,78.49,1134.48,88.33,76.97,266.36,36.55,633.05,481.75,85.92,90.06,87.61,1131,452,591,2174,97,81,15,264,39,496,606,1034,1486,161,389,1043,812,345,253,1239,286,58,36.43,34.61,17.3,40,40,17,2241.19,1583,1623.56,143,15.83,18.35,18.54,85.63,87.17,86.02
COL,2012,COL,COL,Team Level,4on5,48,0.1,0.1,0.11,17199,30.52,2.93,1.56,3.62,0.86,8.64,26.4,2.89,2.93,2.89,36,8,9,53,3,1,1,5,1,5,29,33,41,12,27,143,60,44,20,33,7,4,0.77,1.03,1.13,0,2,1,53,44,44,17,0.36,0.29,0.29,3,3,2.99,242.43,26.35,23.43,52.57,8.4,150.7,79.56,24.74,26.35,24.74,240,101,134,475,30,33,9,48,3,128,99,210,311,10,23,156,21,12,41,239,68,34,5.39,8.55,12.4,3,8,19,475,341,341,3,5.93,6.39,6.46,25.82,25.82,25.03
COL,2012,COL,COL,Team Level,5on4,48,0.86,0.86,0.85,13094,163,17.14,15.37,34.61,5.53,103.63,56.72,16.5,17.14,16.5,170,63,71,304,19,17,3,47,5,82,63,151,214,9,18,125,15,12,51,183,28,22,4.47,3.36,9.3,3,5,11,304,233,233,7,3.89,4.77,4.77,16.27,16.27,15.81,28.92,2.76,1.42,4.15,0.81,8.47,23.38,2.74,2.76,2.74,31,10,9,50,3,2,0,3,1,4,28,28,38,6,12,116,44,34,15,32,4,5,0.94,0.49,1.33,2,0,1,50,41,41,14,0.32,0.41,0.41,2.67,2.67,2.67
DAL,2012,DAL,DAL,Team Level,other,48,0.44,0.47,0.45,5770,67.94,12.07,5.03,13.2,2.23,36.2,24.27,11.5,12.07,11.5,57,36,41,134,9,6,2,11,1,38,28,48,84,10,23,60,30,14,19,57,20,16,1.86,2.6,7.61,0,4,5,134,93,93,6,1.47,1.94,1.94,11.61,11.61,11.23,82.95,15.15,6.01,16.04,2.89,43.96,29.95,14.61,15.15,14.61,83,31,36,150,17,6,2,11,3,38,39,66,97,4,13,99,22,13,11,52,44,18,1.65,5.51,7.99,2,5,10,150,114,114,6,1.8,1.07,0.95,16.01,16.01,15.53
DAL,2012,DAL,DAL,Team Level,all,48,0.45,0.48,0.46,174366,1327.25,121.92,93.88,302.7,43.65,730.44,547.41,117.19,121.95,117.24,1261,579,737,2577,128,102,23,279,47,620,664,1133,1712,226,535,1356,1199,327,423,1359,367,114,37.37,46.7,37.83,41,46,41,2574.15,1840,1840.78,210,20.83,20.78,21.01,121.73,121.78,119.05,1532.18,149.46,108.19,342.01,48.63,852.22,618.48,142.37,150.29,143.12,1489,630,671,2790,141,122,30,360,45,722,729,1348,1978,226,536,1519,1200,327,356,1576,383,160,43.58,47.53,58.36,42,41,58,2798.81,2119,2126.13,186,24.18,28.22,28.75,144.89,145.66,142.07
DAL,2012,DAL,DAL,Team Level,5on5,48,0.47,0.49,0.47,136661,1019.83,81.78,67.57,242.13,33.54,559.36,424.64,79.09,81.81,79.14,973,436,583,1992,92,78,18,221,38,461,519,881,1317,191,453,1042,1079,266,341,1076,269,64,30.16,34.41,17.21,36,34,22,1989.15,1409,1409.78,179,13.95,15.63,15.68,80.05,80.1,78.99,1140.88,93.11,76.46,266.6,36.25,635.19,471.39,89.48,93.94,90.22,1114,465,505,2084,92,91,19,283,37,525,551,1022,1487,186,439,1068,1089,256,277,1218,274,87,34.72,34.11,24.29,38,31,23,2092.81,1579,1586.13,154,15.75,18.24,18.71,90.15,90.92,89.37
DAL,2012,DAL,DAL,Team Level,4on5,48,0.1,0.11,0.13,15998,36.04,4.06,1.88,4.82,1.08,9.83,32.34,3.93,4.06,3.93,36,18,7,61,2,3,0,6,2,6,35,34,52,13,35,118,61,33,21,37,11,6,0.63,1.44,1.98,1,0,1,61,54,54,20,0.44,0.94,0.94,3.56,3.56,3.56,264.34,37.09,23.6,53.54,8.28,160.65,84.84,34.24,37.09,34.24,254,114,117,485,29,23,8,61,3,148,104,225,339,22,56,198,26,9,47,265,53,50,5.96,6.42,24.71,2,4,23,485,368,368,9,6.15,8.59,8.77,34.47,34.47,32.93
DAL,2012,DAL,DAL,Team Level,5on4,48,0.85,0.85,0.83,15937,203.44,24,19.39,42.57,6.81,125.06,66.17,22.67,24,22.67,195,89,106,390,25,15,3,41,6,115,82,170,259,12,24,136,29,14,42,189,67,28,4.72,8.25,11.04,4,8,13,390,284,284,5,4.96,2.27,2.46,26.5,26.5,25.27,44.01,4.11,2.12,5.84,1.2,12.43,32.31,4.05,4.11,4.05,38,20,13,71,3,2,1,5,2,11,35,35,55,14,28,154,63,49,21,41,12,5,1.24,1.49,1.37,0,1,2,71,58,58,17,0.48,0.32,0.32,4.27,4.27,4.25
