"","source","target","value"
"1","Antharum 1","Helium",1
"2","Codos 1","Water",1
"3","Codos 1","Analgesic",1
"4","Codos 1","Solvent",1
"5","Codos 2","Iron",1
"6","Codos 2","Alkanes",1
"7","Decaran VI-B 1","Vytinium",1
"8","Decaran VI-B 1","Uranium",1
"9","Decaran VI-B 1","Iridium",1
"10","Decaran VI-B 1","Helium",1
"11","Fermi III 1","Alkanes",1
"12","Fermi III 1","Fiber",1
"13","Fermi III 1","Water",1
"14","Fermi III 1","Iron",1
"15","Fermi VII-A 1","Memory Substrate",1
"16","Fermi VII-A 1","Palladium",1
"17","Fermi VII-A 1","Platinum",1
"18","Fermi VII-A 1","Nickel",1
"19","Fermi VII-A 1","Cobalt",1
"20","Fermi VII-A 1","Flourine",1
"21","Jaffa VI-C 2","Helium",1
"22","Jaffa VI-C 2","Aluminum",1
"23","Jaffa VI-C 2","Europium",1
"24","Jaffa VI-C 2","Neodymium",1
"25","Jaffa VII-B 1","Dysprosium",1
"26","Jaffa VII-B 1","Lead",1
"27","Jaffa VII-B 1","Titanium",1
"28","Jaffa VII-B 1","Tungsten",1
"29","Jemmison 1","Chlorine",1
"30","Jemmison 1","Chlorosilanes",1
"31","Jemmison 1","Water",1
"32","Katydid I-A 1","Helium",1
"33","Katydid I-A 1","Water",1
"34","Katydid I-A 1","Chlorine",1
"35","Katydid I-A 1","Chlorosilanes",1
"36","Katydid III 1","Water",1
"37","Katydid III 1","Aluminum",1
"38","Katydid III 1","Beryllium",1
"39","Katydid III 1","Indicite",1
"40","Katydid III 2","Lead",1
"41","Katydid III 2","Silver",1
"42","Kurtz 1","Helium",1
"43","Oberon I 1","Membrane",1
"44","Oberon I 1","Copper",1
"45","Oberon I 1","Gold",1
"46","Porrima II 1","Caesium",1
"47","Porrima II 1","Chlorine",1
"48","Porrima II 1","Water",1
"49","Porrima II 2","Caesium",1
"50","Porrima II 2","Chlorine",1
"51","Porrima II 2","Lithium",1
"52","Porrima II 2","Water",1
"53","Porrima IV-D 1","Water",1
"54","Porrima IV-D 1","Uranium",1
"55","Porrima IV-D 1","Plutonium",1
"56","Porrima V-C 1","Water",1
"57","Porrima V-C 1","Antimony",1
"58","Porrima V-C 1","Copper",1
"59","Porrima V-C 1","Gold",1
"60","Procyon III 2","Argon",1
"61","Procyon III 2","Neon",1
"62","Procyon III 2","Fiber",1
"63","Procyon III 2","Metabolic Agent",1
"64","Procyon III 2","Sealant",1
"65","Procyon III 2","Sedative",1
"66","Procyon III 2","Antimicrobial",1
"67","Procyon III-A 1","Helium",1
"68","Rivera I 1","Water",1
"69","Rivera I 1","Benzene",1
"70","Rivera I 1","Cobalt",1
"71","Rivera I 1","Nickel",1
"72","Rivera I 1","Lubricant",1
"73","Zeta Ophi I 1","Ytterbium",1
"74","Zeta Ophi I 1","Tanatalum",1
"75","Zeta Ophi I 1","Polymer",1
"76","Zeta Ophi I 1","Iron",1
"77","Zeta Ophi I 1","Chlorine",1
"78","Zeta Ophi I 1","Water",1
"79","a Andraste III 1","Water",1
"80","a Andraste III 1","Chlorine",1
"81","a Andraste III 1","Xenon",1
"82","a Andraste III 1","Chlorosilanes",1
"83","a Andraste III 1","Biosuppressant",1
