"","date","name","category","value"
"1",1970-01-01,"Maryland","S",6497744
"2",1970-01-01,"Iowa","S",3086788
"3",1970-01-01,"Delaware","S",834420
"4",1970-01-01,"Ohio","S",11331100
"5",1970-01-01,"Pennsylvania","S",12677130
"6",1970-01-01,"Nebraska","S",1828636
"7",1970-01-01,"Washington","S",7083135
"8",1970-01-01,"Alabama","S",4507724
"9",1970-01-01,"Arkansas","S",2652788
"10",1970-01-01,"New.Mexico","S",2007169
"11",1970-01-01,"Texas","S",26095930
"12",1970-01-01,"California","S",35114980
"13",1970-01-01,"Kentucky","S",4646502
"14",1970-01-01,"Georgia","S",9668215
"15",1970-01-01,"Wisconsin","S",5784086
"16",1970-01-01,"Oregon","S",4026673
"17",1970-01-01,"Missouri","S",6095176
"18",1970-01-01,"Virginia","S",8356177
"19",1970-01-01,"Tennessee","S",5924996
"20",1970-01-01,"Louisiana","S",4425600
"21",1970-01-01,"New.York","S",18341690
"22",1970-01-01,"Michigan","S",9800301
"23",1970-01-01,"Idaho","S",1677723
"24",1970-01-01,"Florida","S",20131420
"25",1970-01-01,"Illinois","S",12956220
"26",1970-01-01,"Montana","S",1020306
"27",1970-01-01,"Minnesota","S",5469500
"28",1970-01-01,"Indiana","S",6518298
"29",1970-01-01,"Massachusetts","S",5612916
"30",1970-01-01,"Kansas","S",2858035
"31",1970-01-01,"Nevada","S",2761690
"32",1970-01-01,"Vermont","S",634153
"33",1970-01-01,"Connecticut","S",3351654
"34",1970-01-01,"New.Jersey","S",10054250
"35",1970-01-01,"North.Carolina","S",9311830
"36",1970-01-01,"Utah","S",3037363
"37",1970-01-01,"North.Dakota","S",672026
"38",1970-01-01,"South.Carolina","S",4474623
"39",1970-01-01,"Mississippi","S",2782401
"40",1970-01-01,"Colorado","S",5367069
"41",1970-01-01,"South.Dakota","S",849586
"42",1970-01-01,"Oklahoma","S",3545716
"43",1970-01-01,"Wyoming","S",587924
"44",1970-01-01,"West.Virginia","S",1822686
"45",1970-01-01,"Maine","S",1216068
"46",1970-01-01,"New.Hampshire","S",1278560
