"","date","name","category","value"
"1",1970-01-01,"Maryland",34,6497744
"2",1970-01-01,"Iowa",19,3086788
"3",1970-01-01,"Delaware",4,834420
"4",1970-01-01,"Ohio",42,11331100
"5",1970-01-01,"Pennsylvania",43,12677130
"6",1970-01-01,"Nebraska",12,1828636
"7",1970-01-01,"Washington",36,7083135
"8",1970-01-01,"Alabama",25,4507724
"9",1970-01-01,"Arkansas",14,2652788
"10",1970-01-01,"New.Mexico",13,2007169
"11",1970-01-01,"Texas",47,26095930
"12",1970-01-01,"California",48,35114980
"13",1970-01-01,"Kentucky",26,4646502
"14",1970-01-01,"Georgia",39,9668215
"15",1970-01-01,"Wisconsin",30,5784086
"16",1970-01-01,"Oregon",22,4026673
"17",1970-01-01,"Missouri",33,6095176
"18",1970-01-01,"Virginia",37,8356177
"19",1970-01-01,"Tennessee",31,5924996
"20",1970-01-01,"Louisiana",23,4425600
"21",1970-01-01,"New.York",45,18341690
"22",1970-01-01,"Michigan",40,9800301
"23",1970-01-01,"Idaho",10,1677723
"24",1970-01-01,"Florida",46,20131420
"25",1970-01-01,"Illinois",44,12956220
"26",1970-01-01,"Montana",7,1020306
"27",1970-01-01,"Minnesota",28,5469500
"28",1970-01-01,"Indiana",35,6518298
"29",1970-01-01,"Massachusetts",29,5612916
"30",1970-01-01,"Kansas",17,2858035
"31",1970-01-01,"Nevada",15,2761690
"32",1970-01-01,"Vermont",2,634153
"33",1970-01-01,"Connecticut",20,3351654
"34",1970-01-01,"New.Jersey",41,10054250
"35",1970-01-01,"North.Carolina",38,9311830
"36",1970-01-01,"Utah",18,3037363
"37",1970-01-01,"North.Dakota",3,672026
"38",1970-01-01,"South.Carolina",24,4474623
"39",1970-01-01,"Mississippi",16,2782401
"40",1970-01-01,"Colorado",27,5367069
"41",1970-01-01,"South.Dakota",5,849586
"42",1970-01-01,"Oklahoma",21,3545716
"43",1970-01-01,"Wyoming",1,587924
"44",1970-01-01,"West.Virginia",11,1822686
"45",1970-01-01,"Maine",8,1216068
"46",1970-01-01,"New.Hampshire",9,1278560
"47",1970-01-01,"Arizona",32,6091467
"48",1970-01-01,"Rhode.Island",6,929596
"49",1970-01-02,"Maryland",34,6497744
"50",1970-01-02,"Iowa",19,3086788
"51",1970-01-02,"Delaware",4,834420
"52",1970-01-02,"Ohio",42,11331100
"53",1970-01-02,"Pennsylvania",43,12677130
"54",1970-01-02,"Nebraska",12,1828636
"55",1970-01-02,"Washington",36,7083135
"56",1970-01-02,"Alabama",25,4507724
"57",1970-01-02,"Arkansas",14,2652788
"58",1970-01-02,"New.Mexico",13,2007169
"59",1970-01-02,"Texas",47,26095930
"60",1970-01-02,"California",48,35114980
"61",1970-01-02,"Kentucky",26,4646502
"62",1970-01-02,"Georgia",39,9668215
"63",1970-01-02,"Wisconsin",30,5784086
"64",1970-01-02,"Oregon",22,4026673
"65",1970-01-02,"Missouri",33,6095176
"66",1970-01-02,"Virginia",37,8356177
"67",1970-01-02,"Tennessee",31,5924996
"68",1970-01-02,"Louisiana",23,4425600
"69",1970-01-02,"New.York",45,18341690
"70",1970-01-02,"Michigan",40,9800301
"71",1970-01-02,"Idaho",10,1677723
"72",1970-01-02,"Florida",46,20131420
"73",1970-01-02,"Illinois",44,12956220
"74",1970-01-02,"Montana",7,1020306
"75",1970-01-02,"Minnesota",28,5469500
"76",1970-01-02,"Indiana",35,6518298
"77",1970-01-02,"Massachusetts",29,5612916
"78",1970-01-02,"Kansas",17,2858035
"79",1970-01-02,"Nevada",15,2761690
"80",1970-01-02,"Vermont",2,634153
"81",1970-01-02,"Connecticut",20,3351654
"82",1970-01-02,"New.Jersey",41,10054250
"83",1970-01-02,"North.Carolina",38,9311830
"84",1970-01-02,"Utah",18,3037363
"85",1970-01-02,"North.Dakota",3,672026
"86",1970-01-02,"South.Carolina",24,4474623
"87",1970-01-02,"Mississippi",16,2782401
"88",1970-01-02,"Colorado",27,5367069
"89",1970-01-02,"South.Dakota",5,849586
"90",1970-01-02,"Oklahoma",21,3545716
"91",1970-01-02,"Wyoming",1,587924
"92",1970-01-02,"West.Virginia",11,1822686
"93",1970-01-02,"Maine",8,1216068
"94",1970-01-02,"New.Hampshire",9,1278560
"95",1970-01-02,"Arizona",32,6091467
"96",1970-01-02,"Rhode.Island",6,929596
"97",1970-01-03,"Maryland",34,6497744
"98",1970-01-03,"Iowa",19,3086788
"99",1970-01-03,"Delaware",4,834420
"100",1970-01-03,"Ohio",42,11331100
"101",1970-01-03,"Pennsylvania",43,12677130
"102",1970-01-03,"Nebraska",12,1828636
"103",1970-01-03,"Washington",36,7083135
"104",1970-01-03,"Alabama",25,4507724
"105",1970-01-03,"Arkansas",14,2652788
"106",1970-01-03,"New.Mexico",13,2007169
"107",1970-01-03,"Texas",47,26095930
"108",1970-01-03,"California",48,35114980
"109",1970-01-03,"Kentucky",26,4646502
"110",1970-01-03,"Georgia",39,9668161
"111",1970-01-03,"Wisconsin",30,5784086
"112",1970-01-03,"Oregon",22,4026673
"113",1970-01-03,"Missouri",33,6095176
"114",1970-01-03,"Virginia",37,8356177
"115",1970-01-03,"Tennessee",31,5924996
"116",1970-01-03,"Louisiana",23,4425600
"117",1970-01-03,"New.York",45,18341690
"118",1970-01-03,"Michigan",40,9800301
"119",1970-01-03,"Idaho",10,1677723
"120",1970-01-03,"Florida",46,20131420
"121",1970-01-03,"Illinois",44,12956220
"122",1970-01-03,"Montana",7,1020306
"123",1970-01-03,"Minnesota",28,5469500
"124",1970-01-03,"Indiana",35,6518298
"125",1970-01-03,"Massachusetts",29,5612916
"126",1970-01-03,"Kansas",17,2858035
"127",1970-01-03,"Nevada",15,2761690
"128",1970-01-03,"Vermont",2,634153
"129",1970-01-03,"Connecticut",20,3351654
"130",1970-01-03,"New.Jersey",41,10054250
"131",1970-01-03,"North.Carolina",38,9311830
"132",1970-01-03,"Utah",18,3037363
"133",1970-01-03,"North.Dakota",3,672026
"134",1970-01-03,"South.Carolina",24,4474623
"135",1970-01-03,"Mississippi",16,2782401
"136",1970-01-03,"Colorado",27,5367069
"137",1970-01-03,"South.Dakota",5,849586
